title,runtime,imdb_score,votes,genre
Naiki ka Badla,14,0.0,0,Family
Rú ge shàonián,93,0.0,0,Family
Fairytale Fun Force Storytime: Happy Jack,159,0.0,0,Family
Salamat Rahe Dostana Hamara (SRDH),60,0.0,0,Family
Pulang Tak Harus Rumah,80,0.0,0,Family
Prothom Valobasa,53,0.0,0,Family
Hao hao shuo zai jian,92,0.0,0,Family
Bibi Rajni,143,0.0,0,Family
Shesh Kichudin,55,0.0,0,Family
Abar Amra Eksathe,50,0.0,0,Family
The Hay Man,74,0.0,0,Family
Incident at Panther Hills: Bigfoot's Return,58,0.0,0,Family
Running Milu Deer,104,0.0,0,Family
Tomari Sathe,54,0.0,0,Family
Jodi Bhalobasho,54,0.0,0,Family
Gyakorlat teszi a mestert,46,6.1,0,Family
Meiyazhagan,177,0.0,0,Family
Otitpur,48,0.0,0,Family
Siamo solo noi,116,0.0,0,Family
The Silly Billies: Live in Your Lounge Room!,47,0.0,0,Family
Baawla,17,0.0,0,Family
Beyaz Zenciler: Yapim Asamasi,55,0.0,0,Family
"Iloilo, lueurs invisibles",51,0.0,0,Family
Rajakili,122,0.0,0,Family
Mult v kino. Vypusk # 168: Idyom na piknik!,51,0.0,0,Family
Savages,87,0.0,0,Family
Crayon Shin-chan: Ora's Dinosaur Diary,106,0.0,0,Family
200% Wolf,98,6.0,1300,Family
Rebellious,94,0.0,0,Family
Paddington in Peru,106,6.7,18000,Family
Bila Esok Ibu Tiada,104,0.0,0,Family
Bambi: A Tale of Life in the Woods,85,5.6,0,Family
The Night Before Christmas in Wonderland,80,6.3,0,Family
Average Joe,100,4.2,0,Family
Man and Witch: The Dance of a Thousand Steps,94,5.5,0,Family
The Groomsmen: First Look,82,0.0,0,Family
Panda Bear in Africa,84,0.0,0,Family
Ryan's World the Movie: Titan Universe Adventure,80,0.0,0,Family
A Sudden Case of Christmas,91,0.0,0,Family
Niko: Beyond the Northern Lights,86,6.2,0,Family
Despicable Me 4,94,6.2,63000,Family
And the Breadwinner Is...,123,6.8,0,Family
Ghost Cat Anzu,97,0.0,0,Family
Believe in Christmas,90,0.0,0,Family
Robin and the Hoods,100,0.0,0,Family
A Nashville Wish,102,5.6,0,Family
A Carpenter's Prayer,91,0.0,0,Family
Super-Charlie,80,0.0,0,Family
The Neon Highway,113,6.0,0,Family
Rally Caps,100,0.0,0,Family
School of Magical Animals 3,105,0.0,0,Family
Inside Out 2,96,7.5,212000,Family
Der Buchspazierer,98,0.0,0,Family
The Primrose Railway Children,81,0.0,0,Family
Marry Christmas,85,0.0,0,Family
A Brother and 7 Siblings,129,8.6,1100,Family
Véletlenül írtam egy könyvet,98,0.0,0,Family
"Love, Sitara",105,0.0,0,Family
No Time to Spy: A Loud House Movie,81,6.4,0,Family
Skelly,85,0.0,0,Family
Sabari,129,0.0,0,Family
IF,104,6.4,57000,Family
Brewster's Millions: Christmas,100,0.0,0,Family
Home Sweet Loan,112,8.1,0,Family
Treasure Trackers,92,5.8,0,Family
The Snow Sister,96,0.0,0,Family
Going Viral,90,6.8,0,Family
Dongeng Sang Kancil,99,0.0,0,Family
Cup,146,0.0,0,Family
Return to Wickensburg,88,0.0,0,Family
Chico Bento e a Goiabeira Maraviosa,90,0.0,0,Family
Disaster Holiday,93,0.0,0,Family
